                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5359,                 2.2168,                0.84854,                0.97407,                0.11962,                0.64809,                 0.3735,                  1.415,                 2.6879,                0.81345,                0.00042,                0.00042,                0.00042
                      2,                 1.3537,                 1.4332,                0.75588,                0.94431,                  0.288,                0.50503,                0.26779,                 1.6041,                 2.8993,                0.96034,             0.00083568,             0.00083568,             0.00083568
                      3,                 1.3706,                 1.3567,                 0.7624,                0.45267,                0.49575,                0.41591,                0.13811,                 1.8975,                 2.5096,                 1.1535,              0.0012265,              0.0012265,              0.0012265
                      4,                 1.3554,                 1.2673,                0.76445,                0.54285,                0.48195,                0.50734,                0.25755,                 1.6675,                 1.7939,                0.91919,              0.0015924,              0.0015924,              0.0015924
                      5,                 1.4113,                 1.2386,                0.79161,                0.25054,                0.33333,                0.21729,                0.09119,                  1.906,                 6.8906,                 1.0526,              0.0017738,              0.0017738,              0.0017738
                      6,                 1.3938,                 1.1439,                0.78326,                0.46256,                0.50983,                0.44863,                0.24236,                 1.7145,                 1.8472,                0.96648,              0.0017738,              0.0017738,              0.0017738
                      7,                 1.3578,                 1.1124,                0.77033,                0.59885,                0.55941,                0.52425,                 0.2973,                   1.66,                 1.5876,                0.95361,              0.0017172,              0.0017172,              0.0017172
                      8,                 1.3542,                 1.0511,                 0.7732,                0.69761,                0.84076,                0.77654,                 0.4828,                 1.2459,                 1.5466,                0.75664,              0.0016607,              0.0016607,              0.0016607
                      9,                 1.3262,                 1.0388,                0.76041,                0.84597,                0.83372,                0.89866,                0.58524,                 1.2034,                 1.0396,                0.69723,              0.0016041,              0.0016041,              0.0016041
                     10,                 1.3149,                0.98428,                0.75461,                0.81999,                0.86559,                0.89205,                0.57618,                 1.2046,                0.75596,                0.74858,              0.0015475,              0.0015475,              0.0015475
                     11,                 1.3048,                0.98435,                0.75594,                0.80398,                0.86943,                0.87197,                0.57845,                 1.1496,                0.78169,                0.72033,               0.001491,               0.001491,               0.001491
                     12,                  1.278,                 0.9691,                0.74218,                0.68457,                0.88008,                0.84881,                0.58514,                 1.1173,                0.85758,                 0.7001,              0.0014344,              0.0014344,              0.0014344
                     13,                 1.2921,                0.95297,                0.75166,                0.82779,                0.91295,                0.92831,                0.62176,                 1.1465,                0.64847,                0.67633,              0.0013779,              0.0013779,              0.0013779
                     14,                 1.2607,                0.92007,                0.73855,                0.84038,                0.87748,                0.91376,                0.60337,                 1.2122,                0.69893,                0.71228,              0.0013213,              0.0013213,              0.0013213
                     15,                 1.2665,                 0.9288,                0.74399,                0.87407,                0.84926,                0.91204,                0.58508,                 1.2462,                0.77335,                0.70395,              0.0012648,              0.0012648,              0.0012648
                     16,                 1.2398,                0.91295,                0.73374,                0.83353,                0.87701,                0.92475,                0.59127,                  1.226,                 0.6735,                0.71606,              0.0012082,              0.0012082,              0.0012082
                     17,                 1.2483,                0.89573,                0.73744,                0.86487,                0.89685,                0.93637,                 0.6305,                 1.1523,                0.69293,                0.66254,              0.0011516,              0.0011516,              0.0011516
                     18,                 1.2298,                 0.8842,                0.72984,                0.80274,                 0.8949,                0.91194,                0.57605,                 1.2555,                0.69608,                0.72207,              0.0010951,              0.0010951,              0.0010951
                     19,                 1.2294,                0.87552,                0.72422,                0.85271,                0.89116,                0.92935,                0.58914,                 1.2614,                0.67214,                0.70099,              0.0010385,              0.0010385,              0.0010385
                     20,                 1.2107,                0.86168,                0.72456,                0.81592,                0.90658,                0.90131,                0.59109,                 1.1704,                0.66886,                0.70597,             0.00098197,             0.00098197,             0.00098197
                     21,                 1.2154,                0.86024,                0.72413,                0.84928,                0.92144,                0.93717,                0.64925,                 1.0848,                0.61269,                 0.6667,             0.00092541,             0.00092541,             0.00092541
                     22,                 1.1931,                0.85246,                0.72072,                0.84787,                0.88535,                0.92147,                0.60107,                 1.1916,                0.65306,                0.69806,             0.00086886,             0.00086886,             0.00086886
                     23,                 1.1818,                0.82453,                0.71274,                0.84729,                 0.9087,                0.93436,                0.64699,                 1.0699,                0.60807,                0.65616,              0.0008123,              0.0008123,              0.0008123
                     24,                 1.1555,                0.81964,                0.70061,                0.87879,                0.90234,                0.94574,                0.62385,                 1.1878,                0.60696,                0.68093,             0.00075574,             0.00075574,             0.00075574
                     25,                 1.1569,                0.81957,                0.70886,                0.85745,                0.91614,                0.93752,                0.62765,                 1.1206,                0.60991,                0.67655,             0.00069919,             0.00069919,             0.00069919
                     26,                 1.1246,                0.75976,                0.69634,                0.88426,                0.89216,                0.94309,                0.61984,                 1.1771,                0.58045,                0.70005,             0.00064263,             0.00064263,             0.00064263
                     27,                 1.1148,                0.73837,                0.69078,                0.85194,                0.92251,                 0.9395,                0.65453,                 1.0985,                0.57976,                0.68082,             0.00058607,             0.00058607,             0.00058607
                     28,                 1.0938,                 0.7323,                0.68357,                 0.8591,                0.91507,                0.93609,                0.63013,                 1.1562,                0.62339,                0.68132,             0.00052951,             0.00052951,             0.00052951
                     29,                 1.0959,                0.71249,                0.67993,                0.86732,                0.91295,                0.93231,                0.62309,                 1.1383,                0.61649,                0.66835,             0.00047296,             0.00047296,             0.00047296
                     30,                 1.0702,                0.70041,                0.67834,                0.88068,                0.91677,                 0.9378,                0.63177,                 1.1692,                0.57114,                0.68348,              0.0004164,              0.0004164,              0.0004164
                     31,                 1.0567,                0.68686,                0.67714,                0.85135,                0.92251,                0.92933,                0.58549,                 1.2738,                0.66569,                0.70679,             0.00035984,             0.00035984,             0.00035984
                     32,                 1.0521,                0.68345,                0.67848,                0.86394,                0.92343,                0.93414,                0.60806,                 1.2087,                0.61029,                 0.6961,             0.00030329,             0.00030329,             0.00030329
                     33,                 1.0374,                0.67537,                 0.6698,                0.86339,                0.91248,                0.92982,                0.63032,                 1.1331,                0.63341,                 0.6689,             0.00024673,             0.00024673,             0.00024673
                     34,                 1.0243,                0.65728,                0.67137,                0.86509,                0.90538,                0.93422,                0.64011,                 1.1093,                0.63527,                0.66987,             0.00019017,             0.00019017,             0.00019017
                     35,                 1.0111,                0.64698,                0.66613,                0.86659,                0.92251,                0.93064,                0.62701,                 1.1341,                0.57951,                0.67297,             0.00013361,             0.00013361,             0.00013361
